,Unnamed: 0.1,Unnamed: 0,Document Title,Authors,Author Affiliations,Universities,Publication Year,DOI,Publisher,citation
337,337,337,Applications of Blockchain Technology in Sustainable Fashion Supply Chains: Operational Transparency and Environmental Efforts,S. Guo; X. Sun; H. K. S. Lam,China,"['University of Liverpool', 'Shanghai University']",2020.0,10.1109/TEM.2020.3034216,IEEE,0.0
338,338,338,Blockchain and Deep Learning for Secure Communication in Digital Twin Empowered Industrial IoT Network,P. Kumar; R. Kumar; A. Kumar; A. A. Franklin; S. Garg; S. Singh,Canada,['LUT University'],2022.0,10.1109/TNSE.2022.3191601,IEEE,0.0
339,339,339,Blockchain and Deep Learning for Secure Communication in Digital Twin Empowered Industrial IoT Network,P. Kumar; R. Kumar; A. Kumar; A. A. Franklin; S. Garg; S. Singh,Finland,['LUT University'],2022.0,10.1109/TNSE.2022.3191601,IEEE,0.0
340,340,340,Blockchain and Deep Learning for Secure Communication in Digital Twin Empowered Industrial IoT Network,P. Kumar; R. Kumar; A. Kumar; A. A. Franklin; S. Garg; S. Singh,India,['LUT University'],2022.0,10.1109/TNSE.2022.3191601,IEEE,0.0
341,341,341,Efficient and Anonymous Cross-Domain Authentication for IIoT Based on Blockchain,J. Cui; N. Liu; Q. Zhang; D. He; C. Gu; H. Zhong,China,['Anhui University'],2022.0,10.1109/TNSE.2022.3224453,IEEE,0.0
342,342,342,Collaborative and Intelligent Resource Optimization for Computing and Caching in IoV With Blockchain and MEC Using A3C Approach,X. Ye; M. Li; P. Si; R. Yang; Z. Wang; Y. Zhang,PR,['Beijing University of Technology'],2022.0,10.1109/TVT.2022.3210570,IEEE,0.0
343,343,343,Collaborative and Intelligent Resource Optimization for Computing and Caching in IoV With Blockchain and MEC Using A3C Approach,X. Ye; M. Li; P. Si; R. Yang; Z. Wang; Y. Zhang,China,['Beijing University of Technology'],2022.0,10.1109/TVT.2022.3210570,IEEE,0.0
344,344,344,Using gamification to address the adoption of Blockchain technology in the public sector of education,V. Yfantis; K. Ntalianis,,[],2022.0,10.1109/EMR.2022.3220574,IEEE,0.0
345,345,345,Understanding the Trends in Blockchain Domain Through an Unsupervised Systematic Patent Analysis,G. Zanella; C. Z. Liu; K. -K. R. Choo,at,['University of Texas at San Antonio'],2021.0,10.1109/TEM.2021.3074310,IEEE,0.0
346,346,346,Understanding the Trends in Blockchain Domain Through an Unsupervised Systematic Patent Analysis,G. Zanella; C. Z. Liu; K. -K. R. Choo,USA,['University of Texas at San Antonio'],2021.0,10.1109/TEM.2021.3074310,IEEE,0.0
347,347,347,Decentralized IoT Resource Monitoring and Scheduling Framework Based on Blockchain,D. Li; R. Chen; Q. Wan; Z. Guan; Y. Sun; Q. Wu; J. Hu; J. Liu,China,"['Beihang University', 'The University of New South Wales']",2022.0,10.1109/JIOT.2022.3228799,IEEE,0.0
348,348,348,Decentralized IoT Resource Monitoring and Scheduling Framework Based on Blockchain,D. Li; R. Chen; Q. Wan; Z. Guan; Y. Sun; Q. Wu; J. Hu; J. Liu,Australia,"['Beihang University', 'The University of New South Wales']",2022.0,10.1109/JIOT.2022.3228799,IEEE,0.0
349,349,349,Consortium Blockchain-Based Spectrum Trading for Network Slicing in 5G RAN: A Multi-Agent Deep Reinforcement Learning Approach,G. O. Boateng; G. Sun; D. A. Mensah; D. M. Doe; R. Ou; G. Liu,CHINA,"['University of Electronic Science and Technology of China', 'Southwestern University of Finance and Economics SWUFE']",2022.0,10.1109/TMC.2022.3190449,IEEE,0.0
350,350,350,Consortium Blockchain-Based Spectrum Trading for Network Slicing in 5G RAN: A Multi-Agent Deep Reinforcement Learning Approach,G. O. Boateng; G. Sun; D. A. Mensah; D. M. Doe; R. Ou; G. Liu,China,"['University of Electronic Science and Technology of China', 'Southwestern University of Finance and Economics SWUFE']",2022.0,10.1109/TMC.2022.3190449,IEEE,0.0
351,351,351,AAKE-BIVT: Anonymous Authenticated Key Exchange Scheme for Blockchain-Enabled Internet of Vehicles in Smart Transportation,A. Badshah; M. Waqas; F. Muhammad; G. Abbas; Z. H. Abbas; S. A. Chaudhry; S. Chen,UK,"['University of Malakand', 'Edith Cowan University', 'University of Engineering and Technology', 'Abu Dhabi University', 'University of Southampton']",2022.0,10.1109/TITS.2022.3220624,IEEE,0.0
352,352,352,AAKE-BIVT: Anonymous Authenticated Key Exchange Scheme for Blockchain-Enabled Internet of Vehicles in Smart Transportation,A. Badshah; M. Waqas; F. Muhammad; G. Abbas; Z. H. Abbas; S. A. Chaudhry; S. Chen,Pakistan,"['University of Malakand', 'Edith Cowan University', 'University of Engineering and Technology', 'Abu Dhabi University', 'University of Southampton']",2022.0,10.1109/TITS.2022.3220624,IEEE,0.0
353,353,353,AAKE-BIVT: Anonymous Authenticated Key Exchange Scheme for Blockchain-Enabled Internet of Vehicles in Smart Transportation,A. Badshah; M. Waqas; F. Muhammad; G. Abbas; Z. H. Abbas; S. A. Chaudhry; S. Chen,Australia,"['University of Malakand', 'Edith Cowan University', 'University of Engineering and Technology', 'Abu Dhabi University', 'University of Southampton']",2022.0,10.1109/TITS.2022.3220624,IEEE,0.0
